"Transfer ID","TitleID","Title","Transfer Type","Relevant Task","Donor Surface","Surface Type","Donor Surface Contamination","Surface Loading Cat","SurfLoadBIo","SurfLoadSolLiq","Contamination  Units","Time Since Application","TimeSinceAppCat","TimeSinceAppBIO","TimeSinceAppLiq","Receiver","Contact Surface Area","Applied Contact Pressure","Type of Contact","Duration of Contact","Number of Contacts","Number of contacts Cat","Moistness of hand","MoistCat","Efficiency type","Substance ID","Number of Observations","Transfer Efficiency","Range of Efficiencies","Standard Deviation","Transfer Efficiency Source","Notes"
30,10,"Evolution of Efficient Methods to Sample Lead Sources, Such as House Dust and Hand Dust, in the Homes of Children",2,"None","Plastic Petri Dish","Smooth",250,">1 mg/cm2",NA,">1 mg/cm2","mg/cm2",0,NA,NA,NA,"Palm",20,NA,1,NA,1,"1",NA,NA,1,7,1,1.3,NA,NA,1,"does not appear that hand contacted surface of petri dish. Instead was placed over rim of dish (to make a seal) and then inverted"
32,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",16.5,NA,NA,NA,NA,0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,60,NA,NA,2,NA
33,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10,"<29","<29 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,92,NA,NA,2,NA
34,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",13.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,9,1,52,NA,NA,2,NA
35,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",28,"<29","<29 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,9,1,35,NA,NA,2,NA
36,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,90,NA,NA,2,NA
37,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,78,NA,NA,2,NA
38,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",39.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,2.1,NA,NA,2,NA
39,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",39.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,3.4,NA,NA,2,NA
40,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",28.56,"<29","<29 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,11,1,28,NA,0,2,NA
41,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",28.56,"<29","<29 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,11,1,53.7,NA,0,2,NA
42,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",119.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,14.1,NA,NA,2,NA
43,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",119.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",0,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,15.8,NA,NA,2,NA
44,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",3,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",0,"0 - 3 hours",NA,"0 - 3 hours","Cotton Glove",1310,NA,4,1200,NA,NA,NA,NA,1,12,5,17.4,NA,8.6,1,NA
45,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",0,"0 - 3 hours",NA,"0 - 3 hours","Cotton Shirt",7440,NA,4,1200,NA,NA,NA,NA,1,12,5,5.6,NA,2.6,1,NA
46,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",0,"0 - 3 hours",NA,"0 - 3 hours","Tights",7220,NA,4,1200,NA,NA,NA,NA,1,12,5,6.6,NA,1.6,1,NA
47,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",0,"0 - 3 hours",NA,"0 - 3 hours","Socks",1220,NA,4,1200,NA,NA,NA,NA,1,12,5,32.1,NA,13.4,1,NA
48,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",3,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",0,"0 - 3 hours",NA,"0 - 3 hours","Cotton Glove",1310,NA,4,1200,NA,NA,NA,NA,1,13,5,22.4,NA,12.6,1,NA
49,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",0,"0 - 3 hours",NA,"0 - 3 hours","Cotton Shirt",7440,NA,4,1200,NA,NA,NA,NA,1,13,5,5.4,NA,2.6,1,NA
50,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",0,"0 - 3 hours",NA,"0 - 3 hours","Tights",7220,NA,4,1200,NA,NA,NA,NA,1,13,5,5.9,NA,1.5,1,NA
51,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",0,"0 - 3 hours",NA,"0 - 3 hours","Socks",1220,NA,4,1200,NA,NA,NA,NA,1,13,5,34.3,NA,18.3,1,NA
52,15,"Potential Role of Hands in the Spread of Respiratory Viral Infections: Studies with Human Parainfluenza Virus 3 and Rhinovirus 14",2,"None","Stainless Steel","Smooth",NA,NA,NA,NA,NA,20,"0 - 60","0 - 60 minutes",NA,"Finger",3,14.2,1,5,1,"1","Dry","Dry",1,2,3,0.67,NA,0.1,1,NA
53,15,"Potential Role of Hands in the Spread of Respiratory Viral Infections: Studies with Human Parainfluenza Virus 3 and Rhinovirus 14",2,"None","Stainless Steel","Smooth",NA,NA,NA,NA,NA,20,"0 - 60","0 - 60 minutes",NA,"Finger",3,14.2,1,5,1,"1","Dry","Dry",1,14,3,1.48,NA,1,1,NA
54,15,"Potential Role of Hands in the Spread of Respiratory Viral Infections: Studies with Human Parainfluenza Virus 3 and Rhinovirus 14",9,"None","finger","Skin",NA,NA,NA,NA,NA,20,"0 - 60","0 - 60 minutes",NA,"Finger",3,14.2,1,5,1,"1","Dry","Dry",1,2,3,0.71,NA,0.2,1,NA
55,9,"Empirical Investigation of Hand-to-Mouth Transfer of Soil",1,"Thumb Sucking","Hand","Skin",0.2,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",0,NA,NA,NA,"Mouth",NA,NA,NA,NA,1,"1","Dry","Dry",2,15,4,10.1,NA,NA,1,"Donor surface concentration is approximated from range 0.04 - 0.35 mg/cm2"
56,9,"Empirical Investigation of Hand-to-Mouth Transfer of Soil",1,"Finger Mouthing","3 Fingers","Skin",0.2,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",0,NA,NA,NA,"Mouth",NA,NA,NA,NA,1,"1","Dry","Dry",2,15,4,15.9,NA,NA,1,"Donor surface concentration is approximated from range 0.04 - 0.35 mg/cm2"
57,9,"Empirical Investigation of Hand-to-Mouth Transfer of Soil",1,"Palm licking","Palm","Skin",0.2,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",0,NA,NA,NA,"Mouth",NA,NA,NA,NA,1,"1","Dry","Dry",2,15,4,21.9,NA,NA,1,"Donor surface concentration is approximated from range 0.04 - 0.35 mg/cm2"
58,12,"Incomplete Removal of the Pesticide Captan from Skin by Standard handwash Exposure Assessment Procedures",2,"Holding Tool","Test Tube","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",10,"0 - 3 hours",NA,"0 - 3 hours","Hand",42,NA,3,NA,10,">6",NA,NA,1,16,12,58.8,NA,NA,2,"handwash conducted immediately following contact"
60,12,"Incomplete Removal of the Pesticide Captan from Skin by Standard handwash Exposure Assessment Procedures",2,"Holding Tool","Test Tube","Smooth",0.134,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",10,"0 - 3 hours",NA,"0 - 3 hours","Hand",42,NA,3,NA,10,">6",NA,NA,1,16,6,93.4,NA,NA,2,"handwash conducted immediately following contact"
61,12,"Incomplete Removal of the Pesticide Captan from Skin by Standard handwash Exposure Assessment Procedures",2,"Holding Tool","Test Tube","Smooth",0.14,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",10,"0 - 3 hours",NA,"0 - 3 hours","Hand",42,NA,3,NA,10,">6",NA,NA,1,16,12,95.6,NA,NA,2,"handwash conducted one hour after contact"
62,17,"The EL Sampler: a press sampler for the quantitative estimation of dermal exposure to pesticides in housedust",2,"None","Polyethylene","Smooth",9e-05,"<0.0002 mg/cm2",NA,"<0.0002 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,0.65,1,5,1,"1","Dry","Dry",1,18,3,29,NA,8,1,"Time since application not given. Assumes entire surface area of palm exposed."
63,17,"The EL Sampler: a press sampler for the quantitative estimation of dermal exposure to pesticides in housedust",2,"None","Polyethylene","Smooth",0.00012,"<0.0002 mg/cm2",NA,"<0.0002 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,0.65,1,5,1,"1","Dry","Dry",1,17,3,43,NA,8,1,"Time since application not given"
64,17,"The EL Sampler: a press sampler for the quantitative estimation of dermal exposure to pesticides in housedust",2,"None","Polyethylene","Smooth",6e-05,"<0.0002 mg/cm2",NA,"<0.0002 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,0.65,1,5,1,"1","Dry","Dry",1,19,3,21,NA,5,1,"Time since application not given. Assumes entire surface area of palm exposed."
65,17,"The EL Sampler: a press sampler for the quantitative estimation of dermal exposure to pesticides in housedust",2,"None","Polyethylene","Smooth",1e-04,"<0.0002 mg/cm2",NA,"<0.0002 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,0.65,1,5,1,"1","Dry","Dry",1,24,3,42,NA,7,1,"Time since application not given. Assumes entire surface area of palm exposed."
66,17,"The EL Sampler: a press sampler for the quantitative estimation of dermal exposure to pesticides in housedust",2,"None","Glass Slide","Smooth",NA,NA,NA,NA,"mg/cm2",NA,NA,NA,NA,"Hand",150,0.65,1,5,1,"1","Dry","Dry",1,20,3,45,NA,NA,1,"Time since application not given. Assumes entire surface area of palm exposed."
67,17,"The EL Sampler: a press sampler for the quantitative estimation of dermal exposure to pesticides in housedust",2,"None","Glass Slide","Smooth",NA,NA,NA,NA,"mg/cm2",NA,NA,NA,NA,"Hand",150,0.65,1,5,1,"1","Dry","Dry",1,21,3,14,NA,NA,1,"Time since application not given. Assumes entire surface area of palm exposed."
68,17,"The EL Sampler: a press sampler for the quantitative estimation of dermal exposure to pesticides in housedust",2,"None","Glass Slide","Smooth",NA,NA,NA,NA,"mg/cm2",NA,NA,NA,NA,"Hand",150,0.65,1,5,1,"1","Dry","Dry",1,22,3,66,NA,NA,1,"Time since application not given. Assumes entire surface area of palm exposed."
69,17,"The EL Sampler: a press sampler for the quantitative estimation of dermal exposure to pesticides in housedust",2,"None","Glass Slide","Smooth",NA,NA,NA,NA,"mg/cm2",NA,NA,NA,NA,"Hand",150,0.65,1,5,1,"1","Dry","Dry",1,23,3,100,NA,NA,1,"Time since application not given. Assumes entire surface area of palm exposed."
70,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.006,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",7,0.07,1,6,1,"1","Dry","Dry",1,25,18,1.83,NA,4.17,2,"Time since application is approximate (report says ""at least three hours"")"
71,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.006,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",12.9,0.07,1,6,2,"2 - 6","Dry","Dry",1,25,18,3.17,NA,1,2,"Time since application is approximate (report says ""at least three hours"")"
72,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.006,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",17.4,0.07,1,6,3,"2 - 6","Dry","Dry",1,25,18,4,NA,1.17,2,"Time since application is approximate (report says ""at least three hours"")"
73,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.006,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",21.6,0.07,1,6,4,"2 - 6","Dry","Dry",1,25,18,5,NA,1.33,2,"Time since application is approximate (report says ""at least three hours"")"
74,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.006,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",26.2,0.07,1,6,5,"2 - 6","Dry","Dry",1,25,18,6,NA,1.33,2,"Time since application is approximate (report says ""at least three hours"")"
75,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.006,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",16.4,0.07,1,6,6,"2 - 6","Dry","Dry",1,25,18,6.33,NA,1.83,2,"Time since application is approximate (report says ""at least three hours"")"
76,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",26.6,0.07,1,6,1,"1","Dry","Dry",1,25,3,0.15,NA,0.136,2,"Time since application is approximate (report says ""at least three hours"")"
77,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",40.2,0.07,1,6,2,"2 - 6","Dry","Dry",1,25,3,0.26,NA,0.136,2,"Time since application is approximate (report says ""at least three hours"")"
78,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",43.8,0.07,1,6,3,"2 - 6","Dry","Dry",1,25,3,0.31,NA,0.096,2,"Time since application is approximate (report says ""at least three hours"")"
79,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",46.5,0.07,1,6,4,"2 - 6","Dry","Dry",1,25,3,0.35,NA,0.119,2,"Time since application is approximate (report says ""at least three hours"")"
80,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",54.7,0.07,1,6,5,"2 - 6","Dry","Dry",1,25,3,0.4,NA,0.158,2,"Time since application is approximate (report says ""at least three hours"")"
81,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",54.1,0.07,1,6,6,"2 - 6","Dry","Dry",1,25,3,0.45,NA,0.13,2,"Time since application is approximate (report says ""at least three hours"")"
82,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",58,0.07,1,6,7,">6","Dry","Dry",1,25,3,0.5,NA,0.299,2,"Time since application is approximate (report says ""at least three hours"")"
83,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",57.8,0.07,1,6,8,">6","Dry","Dry",1,25,3,0.53,NA,0.26,2,"Time since application is approximate (report says ""at least three hours"")"
84,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",59.1,0.07,1,6,9,">6","Dry","Dry",1,25,3,0.53,NA,0.237,2,"Time since application is approximate (report says ""at least three hours"")"
85,21,"Transfer of Contaminants from Surface to Hands: Experimental Assessment of Linearity of the Exposure Process, Adherence to the Skin and Area Exposed During Fixed Pressure and Repeated Contact with Surfaces Contaminated with a Powder",2,"None","Glass Plate","Smooth",0.177,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",180,NA,NA,NA,"Hand",59.6,0.07,1,6,10,">6","Dry","Dry",1,25,3,0.55,NA,0.243,2,"Time since application is approximate (report says ""at least three hours"")"
